year,month,district,police_division,crime_type,crime_count,risk_zone,trend
2023,5,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,9,High,Decreasing
2023,6,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,11,High,Increasing
2023,7,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,12,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,9,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,9,High,Stable
2023,10,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,11,High,Increasing
2023,11,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,11,High,Stable
2023,12,Anuradhapura,Anurdhapura Main,Cattle Theft > 50k,13,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,12,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,12,High,Stable
2023,3,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,15,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,12,High,Decreasing
2023,5,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,13,High,Stable
2023,6,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,18,High,Increasing
2023,7,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,16,High,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,13,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,16,High,Increasing
2023,10,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,13,High,Decreasing
2023,11,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,18,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Cheating / Breach of Trust > 300k,18,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Counterfeiting Currency,0,Low,Stable
2023,1,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Cruelty to Children,1,Medium,Stable
2023,6,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Decreasing
2023,7,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,8,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Cruelty to Children,0,Low,Stable
2023,1,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,7,Anuradhapura,Anurdhapura Main,Extortions,1,Medium,Stable
2023,8,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Extortions,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Extortions,1,Medium,Stable
2023,1,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,3,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,2,High,Decreasing
2023,3,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,3,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,3,High,Stable
2023,5,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,5,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,5,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,4,High,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,4,High,Stable
2023,9,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,3,High,Decreasing
2023,10,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,3,High,Stable
2023,11,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,5,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Grave Sexual Abuse,5,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Grievous Hurt,4,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Grievous Hurt,4,High,Stable
2023,3,Anuradhapura,Anurdhapura Main,Grievous Hurt,5,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Grievous Hurt,4,High,Decreasing
2023,5,Anuradhapura,Anurdhapura Main,Grievous Hurt,6,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Grievous Hurt,8,High,Increasing
2023,7,Anuradhapura,Anurdhapura Main,Grievous Hurt,8,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Grievous Hurt,5,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Grievous Hurt,7,High,Increasing
2023,10,Anuradhapura,Anurdhapura Main,Grievous Hurt,7,High,Stable
2023,11,Anuradhapura,Anurdhapura Main,Grievous Hurt,9,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Grievous Hurt,9,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,House Breaking,39,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,House Breaking,36,High,Stable
2023,3,Anuradhapura,Anurdhapura Main,House Breaking,39,High,Stable
2023,4,Anuradhapura,Anurdhapura Main,House Breaking,47,High,Increasing
2023,5,Anuradhapura,Anurdhapura Main,House Breaking,49,High,Stable
2023,6,Anuradhapura,Anurdhapura Main,House Breaking,46,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,House Breaking,49,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,House Breaking,41,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,House Breaking,52,High,Increasing
2023,10,Anuradhapura,Anurdhapura Main,House Breaking,49,High,Stable
2023,11,Anuradhapura,Anurdhapura Main,House Breaking,52,High,Stable
2023,12,Anuradhapura,Anurdhapura Main,House Breaking,64,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,7,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,8,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Human Trafficking,0,Low,Stable
2023,1,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,7,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,7,High,Stable
2023,3,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,8,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,8,High,Stable
2023,5,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,11,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,10,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,11,High,Increasing
2023,8,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,10,High,Stable
2023,9,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,10,High,Stable
2023,10,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,8,High,Decreasing
2023,11,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,10,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Hurt by Dangerous Weapons,13,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Illegal Firearms,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Illegal Firearms,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Illegal Firearms,1,Medium,Stable
2023,1,Anuradhapura,Anurdhapura Main,Kidnapping,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Kidnapping,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,4,Anuradhapura,Anurdhapura Main,Kidnapping,0,Low,Decreasing
2023,5,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,6,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,8,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,9,Anuradhapura,Anurdhapura Main,Kidnapping,0,Low,Decreasing
2023,10,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,11,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,12,Anuradhapura,Anurdhapura Main,Kidnapping,1,Medium,Stable
2023,1,Anuradhapura,Anurdhapura Main,Mischief > 50k,1,Medium,Stable
2023,2,Anuradhapura,Anurdhapura Main,Mischief > 50k,1,Medium,Stable
2023,3,Anuradhapura,Anurdhapura Main,Mischief > 50k,3,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Mischief > 50k,3,High,Stable
2023,5,Anuradhapura,Anurdhapura Main,Mischief > 50k,1,Medium,Decreasing
2023,6,Anuradhapura,Anurdhapura Main,Mischief > 50k,3,High,Increasing
2023,7,Anuradhapura,Anurdhapura Main,Mischief > 50k,3,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Mischief > 50k,1,Medium,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Mischief > 50k,2,High,Increasing
2023,10,Anuradhapura,Anurdhapura Main,Mischief > 50k,1,Medium,Decreasing
2023,11,Anuradhapura,Anurdhapura Main,Mischief > 50k,3,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Mischief > 50k,3,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Murder,1,Medium,Stable
2023,2,Anuradhapura,Anurdhapura Main,Murder,1,Medium,Stable
2023,3,Anuradhapura,Anurdhapura Main,Murder,2,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Murder,1,Medium,Decreasing
2023,5,Anuradhapura,Anurdhapura Main,Murder,2,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Murder,2,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,Murder,2,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Murder,1,Medium,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Murder,1,Medium,Stable
2023,10,Anuradhapura,Anurdhapura Main,Murder,2,High,Increasing
2023,11,Anuradhapura,Anurdhapura Main,Murder,2,High,Stable
2023,12,Anuradhapura,Anurdhapura Main,Murder,2,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Narcotic Drugs,9,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Narcotic Drugs,8,High,Decreasing
2023,3,Anuradhapura,Anurdhapura Main,Narcotic Drugs,8,High,Stable
2023,4,Anuradhapura,Anurdhapura Main,Narcotic Drugs,8,High,Stable
2023,5,Anuradhapura,Anurdhapura Main,Narcotic Drugs,9,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Narcotic Drugs,11,High,Increasing
2023,7,Anuradhapura,Anurdhapura Main,Narcotic Drugs,11,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Narcotic Drugs,11,High,Stable
2023,9,Anuradhapura,Anurdhapura Main,Narcotic Drugs,10,High,Stable
2023,10,Anuradhapura,Anurdhapura Main,Narcotic Drugs,10,High,Stable
2023,11,Anuradhapura,Anurdhapura Main,Narcotic Drugs,12,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Narcotic Drugs,10,High,Decreasing
2023,1,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,2,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,3,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,4,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,5,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,6,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Obstructing Police,2,High,Increasing
2023,8,Anuradhapura,Anurdhapura Main,Obstructing Police,2,High,Stable
2023,9,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Decreasing
2023,10,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,11,Anuradhapura,Anurdhapura Main,Obstructing Police,1,Medium,Stable
2023,12,Anuradhapura,Anurdhapura Main,Obstructing Police,2,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,7,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,8,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Offences Against The State,0,Low,Stable
2023,1,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,1,Medium,Stable
2023,7,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Offensive Weapons Act,0,Low,Stable
2023,1,Anuradhapura,Anurdhapura Main,Property Theft > 50k,29,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Property Theft > 50k,25,High,Decreasing
2023,3,Anuradhapura,Anurdhapura Main,Property Theft > 50k,39,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Property Theft > 50k,32,High,Decreasing
2023,5,Anuradhapura,Anurdhapura Main,Property Theft > 50k,38,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Property Theft > 50k,39,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,Property Theft > 50k,39,High,Stable
2023,8,Anuradhapura,Anurdhapura Main,Property Theft > 50k,33,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Property Theft > 50k,30,High,Stable
2023,10,Anuradhapura,Anurdhapura Main,Property Theft > 50k,33,High,Increasing
2023,11,Anuradhapura,Anurdhapura Main,Property Theft > 50k,43,High,Increasing
2023,12,Anuradhapura,Anurdhapura Main,Property Theft > 50k,46,High,Stable
2023,1,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Stable
2023,2,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Stable
2023,3,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Stable
2023,4,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Stable
2023,5,Anuradhapura,Anurdhapura Main,Rape (Adult),2,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Rape (Adult),2,High,Stable
2023,7,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Rape (Adult),2,High,Increasing
2023,9,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Decreasing
2023,10,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Stable
2023,11,Anuradhapura,Anurdhapura Main,Rape (Adult),1,Medium,Stable
2023,12,Anuradhapura,Anurdhapura Main,Rape (Adult),2,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Robbery,20,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Robbery,18,High,Decreasing
2023,3,Anuradhapura,Anurdhapura Main,Robbery,19,High,Stable
2023,4,Anuradhapura,Anurdhapura Main,Robbery,19,High,Stable
2023,5,Anuradhapura,Anurdhapura Main,Robbery,24,High,Increasing
2023,6,Anuradhapura,Anurdhapura Main,Robbery,28,High,Increasing
2023,7,Anuradhapura,Anurdhapura Main,Robbery,24,High,Decreasing
2023,8,Anuradhapura,Anurdhapura Main,Robbery,18,High,Decreasing
2023,9,Anuradhapura,Anurdhapura Main,Robbery,22,High,Increasing
2023,10,Anuradhapura,Anurdhapura Main,Robbery,21,High,Stable
2023,11,Anuradhapura,Anurdhapura Main,Robbery,18,High,Decreasing
2023,12,Anuradhapura,Anurdhapura Main,Robbery,27,High,Increasing
2023,1,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,2,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,3,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,4,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,5,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,6,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,7,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,8,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,9,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,10,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,11,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,12,Anuradhapura,Anurdhapura Main,Sexual Exploitation Of Children,0,Low,Stable
2023,1,Anuradhapura,Anurdhapura Main,Statutory Rape (Consensual),4,High,Stable
2023,2,Anuradhapura,Anurdhapura Main,Statutory Rape (Consensual),4,High,Stable
2023,3,Anuradhapura,Anurdhapura Main,Statutory Rape (Consensual),5,High,Increasing
2023,4,Anuradhapura,Anurdhapura Main,Statutory Rape (Consensual),5,High,Stable
